age,asvabc,earnings,ethblack,ethhisp,ethwhite,female,male,married,s,urban
37,30.36646,9,0,0,1,0,1,1,12,0
42,45.08792,10,0,0,1,0,1,0,12,1
42,50.54031,20.5,0,0,1,0,1,1,12,1
41,38.27243,9.97,0,0,1,0,1,1,12,1
41,54.35698,12.3,0,0,1,0,1,1,12,1
39,37.72719,12.5,0,0,1,0,1,1,12,0
38,37.99981,15,0,0,1,0,1,1,12,1
38,51.63079,13.71,0,0,1,0,1,1,16,1
38,54.35698,14.42,0,0,1,0,1,1,12,0
45,57.08318,30,0,0,1,0,1,1,13,1
38,57.08318,8.75,0,0,1,0,1,1,16,1
39,39.63553,20.89,0,0,1,0,1,1,10,1
39,61.44509,19.45,0,0,1,0,1,1,12,0
41,53.26651,19.23,0,0,1,0,1,1,12,1
43,61.44509,86.53,0,0,1,0,1,1,16,1
40,47.5415,11.11,0,0,1,0,1,1,18,1
40,42.90696,23.07,1,0,0,0,1,0,12,1
45,43.4522,12.98,0,1,0,0,1,0,13,0
45,54.35698,27.77,0,0,1,0,1,1,12,0
42,62.26295,38.04,0,0,1,0,1,1,14,1
38,48.35935,18.37,0,0,1,0,1,1,12,2
44,63.89867,16.66,0,0,1,0,1,1,18,1
37,51.63079,43.75,0,0,1,0,1,1,12,1
43,48.08673,35.71,1,0,0,0,1,1,16,1
44,52.72127,11.32,0,0,1,0,1,1,12,1
42,51.35817,40.86,0,1,0,0,1,1,16,1
42,55.72008,21.63,0,0,1,0,1,1,12,1
41,54.35698,12,0,0,1,0,1,0,13,1
42,56.81056,19.46,0,0,1,0,1,1,12,1
43,52.72127,21,0,0,1,0,1,1,14,1
39,61.99033,30.76,0,0,1,0,1,1,16,2
41,60.082,26.82,0,0,1,0,1,0,12,1
44,43.17958,25,0,0,1,0,1,0,8,0
38,52.17603,13.95,0,0,1,0,1,1,12,1
39,55.44746,17.8,0,0,1,0,1,1,12,0
44,58.44628,47,0,0,1,0,1,1,19,1
44,57.62842,10.37,0,0,1,0,1,1,12,1
38,63.35343,18.85,0,0,1,0,1,0,12,1
38,63.35343,23.07,0,0,1,0,1,1,18,1
44,57.90104,14,0,0,1,0,1,1,12,1
43,53.53913,24.03,0,1,0,0,1,0,14,1
39,65.26176,25.98,0,0,1,0,1,1,20,1
43,57.08318,29.5,0,0,1,0,1,1,13,1
40,64.98915,15.5,0,0,1,0,1,0,18,1
43,65.80701,3.36,0,0,1,0,1,1,20,1
39,36.09147,12,0,0,1,0,1,0,8,0
42,43.17958,12.19,0,0,1,0,1,1,12,0
42,39.63553,14.67,0,0,1,0,1,1,11,1
40,66.07963,52.85,0,0,1,0,1,1,16,1
39,38.81767,13.4,0,1,0,0,1,0,12,1
42,64.71653,29.01,0,0,1,0,1,1,18,1
44,61.44509,29.05,0,0,1,0,1,1,17,1
43,52.99389,37.78,0,0,1,0,1,1,12,0
42,62.53557,30.55,1,0,0,0,1,1,20,1
42,30.09384,12.75,0,0,1,0,1,1,9,0
43,58.7189,5.5,0,0,1,0,1,0,14,1
38,38.54505,25.58,0,0,1,0,1,0,14,1
39,59.80938,16.53,0,0,1,0,1,1,15,0
42,64.98915,19.23,0,0,1,0,1,1,12,1
37,56.53794,20.02,0,0,1,0,1,0,12,1
41,53.81174,14,0,0,1,0,1,0,12,0
45,31.18432,12,1,0,0,0,1,1,12,1
40,55.17484,22.29,0,0,1,0,1,1,14,1
40,54.08437,8,0,0,1,0,1,1,15,1
38,61.99033,18.8,0,0,1,0,1,0,12,1
38,55.17484,18.09,0,0,1,0,1,1,15,0
37,63.89867,29.45,0,0,1,0,1,1,16,0
45,41.81648,21.39,0,0,1,0,1,0,12,0
43,37.72719,9.8,0,0,1,0,1,1,12,0
38,65.26176,47,0,0,1,0,1,1,17,1
41,44.27006,15.55,0,0,1,0,1,1,12,0
41,42.0891,14.8,0,0,1,0,1,1,12,1
44,53.81174,16.61,0,0,1,0,1,1,12,0
45,54.35698,20.19,0,0,1,0,1,1,13,1
40,64.17129,52.88,0,0,1,0,1,0,18,1
39,57.62842,25,0,0,1,0,1,1,13,1
41,32.00218,7.54,0,0,1,0,1,0,12,1
43,51.08555,11.78,0,0,1,0,1,0,12,1
39,55.9927,25.5,0,0,1,0,1,1,12,1
39,41.54387,13.94,1,0,0,0,1,1,12,1
38,54.90222,21.87,0,0,1,0,1,0,16,1
40,47.26888,27.24,0,0,1,0,1,1,18,1
39,51.90341,14.24,0,1,0,0,1,1,16,0
39,53.53913,33.92,0,0,1,0,1,1,19,1
39,57.62842,55,0,0,1,0,1,1,12,1
38,54.6296,16.25,0,0,1,0,1,1,17,0
44,54.6296,37.5,0,0,1,0,1,1,16,1
39,53.53913,34.02,0,0,1,0,1,1,18,1
42,61.44509,127.9,0,0,1,0,1,1,20,1
40,55.17484,17.34,0,0,1,0,1,1,20,1
38,45.36054,25.5,0,0,1,0,1,1,12,0
45,57.62842,10.68,0,0,1,0,1,1,14,1
39,37.99981,16.16,0,0,1,0,1,1,12,0
39,55.17484,14.21,0,0,1,0,1,1,14,0
38,54.35698,31.25,0,0,1,0,1,0,18,1
40,47.5415,40,0,1,0,0,1,1,20,1
38,55.17484,19.4,0,0,1,0,1,0,12,1
37,57.08318,20.97,0,0,1,0,1,0,16,0
39,46.99625,7.54,0,0,1,0,1,1,12,0
40,64.71653,33.65,0,0,1,0,1,0,16,1
38,54.08437,22,0,0,1,0,1,1,14,0
39,58.99152,18.6,0,1,0,0,1,0,16,1
38,35.001,15.38,0,0,1,0,1,1,14,0
38,58.7189,26.51,0,0,1,0,1,1,16,1
41,63.62605,16.88,0,0,1,0,1,0,14,0
38,58.7189,32.05,0,0,1,0,1,1,16,1
39,32.00218,8.5,1,0,0,0,1,0,12,1
39,65.26176,19.68,0,0,1,0,1,0,16,1
44,34.18314,6.15,1,0,0,0,1,0,11,1
43,29.82122,8.75,1,0,0,0,1,0,11,1
41,36.90933,26.22,0,0,1,0,1,0,12,0
41,41.54387,15.75,1,0,0,0,1,1,12,0
44,64.98915,9.61,0,0,1,0,1,1,15,0
39,57.62842,16,0,0,1,0,1,1,12,0
40,39.63553,8,0,0,1,0,1,0,10,1
41,57.90104,14.9,0,0,1,0,1,1,12,0
42,64.17129,17.02,0,0,1,0,1,0,15,1
44,61.17247,41.02,0,0,1,0,1,1,14,1
40,48.08673,13.4,0,0,1,0,1,0,12,1
39,47.5415,18.25,0,0,1,0,1,1,12,1
40,57.3558,24.61,0,1,0,0,1,0,15,1
38,49.44983,14,0,0,1,0,1,1,13,1
41,64.71653,15.38,0,1,0,0,1,0,18,1
44,37.72719,22.75,1,0,0,0,1,0,13,1
43,56.81056,23.33,0,0,1,0,1,1,12,0
44,65.26176,113.96,0,0,1,0,1,0,13,1
43,59.53675,27.21,0,0,1,0,1,1,16,0
40,63.08081,31.25,0,0,1,0,1,1,17,1
38,45.08792,15,0,0,1,0,1,0,12,0
40,54.08437,16.62,0,0,1,0,1,1,12,1
40,60.35461,13.73,0,0,1,0,1,1,14,0
38,43.72482,22,0,1,0,0,1,0,12,1
38,46.45102,8.88,0,0,1,0,1,0,12,0
37,41.27124,9.65,0,0,1,0,1,0,11,1
40,40.99863,20,0,0,1,0,1,1,14,1
42,36.90933,5,1,0,0,0,1,1,12,0
40,64.71653,50.16,0,0,1,0,1,0,18,1
41,39.36291,16.99,1,0,0,0,1,1,20,0
41,45.90578,12.2,1,0,0,0,1,0,11,1
43,64.98915,15.71,0,0,1,0,1,1,16,1
39,45.63316,9,1,0,0,0,1,0,11,1
43,48.35935,14.25,0,0,1,0,1,0,12,1
38,40.45338,15.6,0,0,1,0,1,1,12,0
43,60.89985,15.69,0,0,1,0,1,1,16,1
41,60.89985,85.47,0,0,1,0,1,0,16,1
45,54.6296,10.57,1,0,0,0,1,0,12,1
37,62.80819,23.07,0,0,1,0,1,0,18,1
42,64.98915,39.91,0,0,1,0,1,1,14,1
44,61.17247,14.6,0,0,1,0,1,1,12,1
41,42.0891,16,1,0,0,0,1,1,12,0
38,34.72837,11.11,0,0,1,0,1,1,8,1
43,47.5415,28.84,0,0,1,0,1,1,12,1
41,66.07963,34.96,0,0,1,0,1,1,19,1
41,63.89867,59,0,0,1,0,1,1,17,1
41,62.80819,72.11,0,0,1,0,1,1,20,1
41,40.72601,18.85,0,0,1,0,1,0,12,1
41,37.45457,13.5,0,0,1,0,1,0,10,0
38,43.17958,21.11,1,0,0,0,1,1,12,1
38,62.53557,11.05,0,0,1,0,1,0,12,1
41,38.54505,11,1,0,0,0,1,1,13,1
45,56.26532,40.06,0,0,1,0,1,1,12,1
43,45.08792,13.23,0,0,1,0,1,0,12,1
40,63.89867,35,0,0,1,0,1,1,18,1
42,52.44865,10,0,0,1,0,1,0,12,1
43,49.72245,9,0,0,1,0,1,0,11,0
40,40.99863,9,0,0,1,0,1,1,12,1
38,47.5415,16.5,0,0,1,0,1,1,12,1
37,42.63434,30.34,0,0,1,0,1,1,15,1
40,56.81056,17.3,0,0,1,0,1,1,12,0
37,51.90341,12.82,0,1,0,0,1,1,12,1
39,55.72008,29.06,0,0,1,0,1,0,14,1
38,35.27361,7,0,0,1,0,1,1,11,1
43,57.08318,13,0,0,1,0,1,0,12,0
44,55.44746,22.11,0,0,1,0,1,1,18,1
38,39.36291,14,0,0,1,0,1,1,9,2
37,57.3558,13.5,0,0,1,0,1,1,12,1
44,46.99625,8.5,0,0,1,0,1,1,14,2
37,60.35461,26.5,0,0,1,0,1,1,12,1
41,37.72719,8,0,0,1,0,1,0,12,1
44,45.36054,14,0,0,1,0,1,1,7,0
40,45.08792,18.34,0,0,1,0,1,1,12,2
40,66.07963,109.61,0,0,1,0,1,1,20,0
38,58.44628,39.53,0,0,1,0,1,1,15,1
41,34.18314,17.12,0,0,1,0,1,1,9,0
39,54.90222,16.34,0,0,1,0,1,0,12,1
39,39.63553,15,0,0,1,0,1,0,12,1
38,58.7189,34.15,0,0,1,0,1,0,13,1
41,55.72008,23.07,0,0,1,0,1,1,14,1
41,52.17603,26.74,0,0,1,0,1,1,13,0
44,64.17129,16.28,0,0,1,0,1,1,16,1
39,65.26176,39.86,0,0,1,0,1,1,17,1
38,57.62842,13,0,0,1,0,1,0,12,1
44,48.35935,12,0,0,1,0,1,1,12,0
44,63.89867,44.07,0,0,1,0,1,1,15,1
39,46.72364,21,0,0,1,0,1,1,12,1
40,43.99744,14.8,0,0,1,0,1,1,13,0
40,46.99625,30,0,0,1,0,1,0,13,0
