asvabc,earnings,s,sf,sm
46,13.550001547462,12,12,12
61,10.0000003197544,12,20,14
49,19.389999480732,12,9,12
51,13.4600008236162,17,16,16
50,7.79000068725098,14,16,14
33,13.4900009156807,12,12,12
60,18.8000017723781,14,18,12
56,8.65000063917134,16,15,11
54,20.29000214711,13,12,12
37,27.5000025167693,12,10,12
55,12.590001359124,16,16,12
40,6.04999984037756,12,14,12
52,8.54000066364151,12,8,12
54,12.9800012204044,12,16,13
50,7.25000019900104,13,12,12
57,14.0000009551801,12,12,12
35,9.15999959237774,10,10,12
52,17.6700015131157,16,9,11
38,15.0000007485731,16,12,12
60,4.46999979553793,12,12,12
40,8.30000005786544,9,12,9
46,9.49999955592324,12,12,11
59,21.149997669504,14,13,12
59,18.2600007350328,13,12,12
37,5.25999974163405,11,12,12
53,7.59999944515141,11,12,14
54,3.1000000725531,12,13,12
51,9.00000035701358,16,16,16
57,5.00000015035391,16,16,14
53,9.21999954810389,12,12,11
40,5.35000023750249,13,12,12
51,11.2000004700156,10,12,12
46,8.65000063917134,16,16,16
54,11.5599989639509,12,10,12
57,13.8299995701199,15,11,8
49,3.87000019200693,12,16,16
44,6.00000013043245,12,9,12
44,13.780000446098,12,11,12
25,7.90000049063744,11,16,12
56,8.0000000457117,13,14,7
56,7.50000036000163,17,16,12
57,16.9000006700223,14,12,12
44,11.750001393929,12,10,12
34,8.0000000457117,15,10,12
56,10.4499998394085,16,18,12
54,9.9599999864514,16,12,12
42,9.80999932248491,12,12,10
48,17.7799989167211,12,12,12
55,11.0299995402121,14,11,13
60,14.0000009551801,14,12,13
54,11.2099998197906,16,12,12
48,6.14999965897489,12,7,7
53,17.7799989167211,16,12,12
41,21.149997669504,16,14,13
45,4.50000016993585,11,8,12
63,11.2500007417086,16,16,16
48,12.0000002837208,12,12,12
62,28.8399978799749,20,12,12
56,11.2099998197906,14,16,16
31,18.4499993428636,13,12,12
41,6.00000013043245,10,8,12
39,11.1599990591784,13,3,12
54,8.87000078477022,16,12,3
53,10.7100002923698,12,12,9
