"","Date","ASVABC","HEIGHT","LIBRARY","MALE","POV78","S","SF","SM","URBAN","WEIGHT"
"1",1-01-01,56.53794,62,1,0,0,17,16,12,0,125
"2",2-01-01,58.7189,64,1,0,0,12,12,12,0,165
"3",3-01-01,52.44865,69,1,1,0,16,8,12,1,140
"4",4-01-01,52.17603,65,0,1,0,13,15,12,0,120
"5",5-01-01,48.08673,67,1,0,0,12,12,12,1,130
"6",6-01-01,40.45338,73,0,1,0,12,12,12,0,190
"7",7-01-01,51.90341,66,1,0,1,15,8,8,1,190
"8",8-01-01,54.6296,75,1,1,1,16,12,12,1,185
"9",9-01-01,66.07963,75,1,1,0,20,17,14,0,205
"10",10-01-01,60.082,69,1,0,0,14,12,12,1,150
"11",11-01-01,45.63316,72,0,1,1,11,12,12,1,197
"12",12-01-01,48.35935,74,1,1,1,12,12,12,2,195
"13",13-01-01,58.17366,65,1,0,0,16,12,12,0,150
"14",14-01-01,54.35698,71,1,1,0,13,14,14,1,140
"15",15-01-01,63.35343,62,1,0,0,16,18,12,1,138
"16",16-01-01,64.98915,66,1,0,1,13,8,12,1,126
"17",17-01-01,36.63671,62,1,0,0,14,10,12,1,125
"18",18-01-01,34.18314,74,1,1,1,11,6,12,1,180
"19",19-01-01,50.81293,63,1,0,0,12,9,12,1,116
"20",20-01-01,46.72364,61,0,0,0,13,3,10,0,141
"21",21-01-01,63.35343,62,1,0,0,16,12,12,1,109
"22",22-01-01,47.5415,71,1,1,0,12,12,11,1,140
"23",23-01-01,45.90578,68,1,1,0,12,17,12,1,180
"24",24-01-01,64.44391,66,1,1,0,18,18,12,0,165
"25",25-01-01,41.81648,60,0,0,0,8,10,10,0,87
"26",26-01-01,42.90696,64,1,1,0,12,11,11,1,155
"27",27-01-01,63.89867,67,1,0,0,20,12,9,1,120
"28",28-01-01,65.53439,68,0,1,0,19,12,10,1,160
"29",29-01-01,50.54031,62,1,0,0,12,12,12,1,140
"30",30-01-01,54.90222,74,1,1,0,16,12,12,1,175
