"","Date","A","H","M","P","R","S"
"1",1-01-01,0,0,1,0,16,0
"2",2-01-01,5,0,1,1,4.7,0
"3",3-01-01,4,0,1,0,100,0
"4",4-01-01,2,0,1,0,49,0
"5",5-01-01,10,32.67,0,1,63,0
"6",6-01-01,8,1.67,1,0,18.7,0
"7",7-01-01,7,68.67,1,1,96.9,1
"8",8-01-01,7,49.67,1,1,73.2,1
"9",9-01-01,6,14.33,0,1,48.2,1
"10",10-01-01,5,12.67,1,1,51.8,1
"11",11-01-01,7,27.33,1,1,61.5,1
"12",12-01-01,8,48.5,0,1,91.4,1
"13",13-01-01,4,6.67,1,0,50.2,1
"14",14-01-01,0,9.67,1,1,38.5,1
"15",15-01-01,13,61.67,0,1,74.3,0
"16",16-01-01,3,10,1,1,28.4,0
"17",17-01-01,7,56.33,1,1,88.7,1
"18",18-01-01,8,86,0,1,86.8,1
"19",19-01-01,8,26,0,0,49.4,0
"20",20-01-01,8,20.67,1,0,57.2,1
"21",21-01-01,8,29,0,1,78.2,0
"22",22-01-01,6,12.33,1,0,20,0
"23",23-01-01,0,0,1,0,19.1,0
"24",24-01-01,10,72.67,0,1,97.7,1
"25",25-01-01,6,31.67,0,1,84.8,0
"26",26-01-01,1,40,1,1,10.5,1
"27",27-01-01,0,0,0,0,30,0
"28",28-01-01,4,45.33,0,1,76.7,1
"29",29-01-01,0,0,1,1,7.4,0
"30",30-01-01,15,53.33,0,1,82.1,1
"31",31-01-01,7,32,1,0,44.7,0
"32",32-01-01,0,0,1,0,1e-37,1
"33",33-01-01,8,36.67,0,1,89.5,1
"34",34-01-01,6,0,0,0,29.6,0
"35",35-01-01,0,0,1,1,24.9,0
"36",36-01-01,11,24.33,1,0,45.1,1
"37",37-01-01,2,18.33,0,0,32.3,1
"38",38-01-01,8,45.33,1,1,73.5,0
"39",39-01-01,8,88,1,1,99.6,0
"40",40-01-01,4,29.67,0,1,78.6,0
"41",41-01-01,6,68.67,0,1,58.4,0
"42",42-01-01,0,0,1,0,3.1,0
"43",43-01-01,8,74.83,1,1,91.8,1
"44",44-01-01,8,53.67,0,1,65,0
"45",45-01-01,5,13.33,1,1,43.6,1
"46",46-01-01,4,39,1,0,73.9,0
"47",47-01-01,16,82,0,1,81.7,0
"48",48-01-01,8,53.67,0,1,89.9,0
"49",49-01-01,13,49.67,0,1,45.5,1
"50",50-01-01,5,38,0,0,35,1
"51",51-01-01,6,53,0,1,46.3,1
"52",52-01-01,6,15.5,0,1,12.8,0
"53",53-01-01,6,11,0,0,23,0
"54",54-01-01,7,46.33,1,1,82.9,0
"55",55-01-01,3,0,1,0,28,1
"56",56-01-01,0,0,1,0,13.2,0
"57",57-01-01,7,9,1,1,77.8,1
"58",58-01-01,2,7.67,1,1,47.5,1
"59",59-01-01,3,21.67,1,0,6.6,0
"60",60-01-01,8,19.33,0,0,8.6,1
"61",61-01-01,10,58.67,0,1,89.1,0
"62",62-01-01,9,34.33,0,0,53.3,1
"63",63-01-01,5,0,0,0,55.6,1
"64",64-01-01,5,46.67,1,1,12.1,0
"65",65-01-01,8,70.33,1,1,84.4,1
"66",66-01-01,0,0,1,0,15.6,0
"67",67-01-01,5,19,1,1,87.5,1
"68",68-01-01,2,29.67,0,1,18.3,0
"69",69-01-01,7,8.33,0,0,31.9,1
"70",70-01-01,5,34.67,1,1,72,1
"71",71-01-01,8,9,0,1,51,1
"72",72-01-01,3,0,1,0,19.5,0
"73",73-01-01,8,21.33,0,1,59.1,1
"74",74-01-01,7,26,1,1,85.2,1
"75",75-01-01,6,0,0,0,55.3,1
"76",76-01-01,7,75,1,1,98.4,0
"77",77-01-01,3,0,0,1,92.6,1
"78",78-01-01,4,0,0,1,31.1,1
"79",79-01-01,1,0,1,1,11.7,1
"80",80-01-01,8,63.33,1,0,68.1,0
